Date.Collected,Tube.Number,Species,Tag.Number,Colony.ID,Origin,Treatment,Gamete,Vol,Notes
20201014,306,A.pulchra,1,Apul_1,Nursery,Nursery,Sperm,NA,Not enough to do duplicates
20201014,307,A.pulchra,1,Apul_1,Nursery,Nursery,Sperm,NA,Not enough to do duplicates
20201014,308,A.cyatherea,14,Acya_14,Linareva,Wild,Sperm,NA,Didn’t Spawn enough
20201014,309,A.cyatherea,14,Acya_14,Linareva,Wild,Sperm,NA,Didn’t Spawn enough
20201014,310,A.cyatherea,14,Acya_14,Linareva,Wild,Sperm,NA,Didn’t Spawn enough
20201014,311,A.cyatherea,17,Acya_17,Linareva,Wild,Sperm,1000uL,
20201014,312,A.cyatherea,17,Acya_17,Linareva,Wild,Sperm,1000uL,
20201014,313,A.cyatherea,17,Acya_17,Linareva,Wild,Sperm,1000uL,
20201014,314,A.pulchra,1,Apul_1,Nursery,Nursery,Eggs,250uL,
20201014,315,A.pulchra,1,Apul_1,Nursery,Nursery,Eggs,250uL,
20201014,316,A.pulchra,1,Apul_1,Nursery,Nursery,Eggs,250uL,
20201014,317,A.cyatherea,14,Acya_14,Linareva,Wild,Eggs,NA,Didn’t Spawn enough
20201014,318,A.cyatherea,14,Acya_14,Linareva,Wild,Eggs,NA,Didn’t Spawn enough
20201014,319,A.cyatherea,14,Acya_14,Linareva,Wild,Eggs,NA,Didn’t Spawn enough
20201014,320,A.cyatherea,17,Acya_17,Linareva,Wild,Eggs,250uL,
20201014,321,A.cyatherea,17,Acya_17,Linareva,Wild,Eggs,250uL,
20201014,322,A.cyatherea,17,Acya_17,Linareva,Wild,Eggs,250uL,
